Absolute Return HFs,Aggregate - Global,Aggregate - US,Asia Pacific ex Japan,Bitcoin,Cash - US,Credit Directional HFs,EM Debt,EM Equities,General Commodities,Global ACWI EAFE,Global Equities ACWI,Gold,Govt Bonds - Global,Govt Bonds - US,Growth Directional HFs,High Yield,HY Muni Bond,IG Corp,IG Muni Bond,Illiquid RE,Infrastructure,Japan Equities,Pan Europe,PE,Private Debt,REITs - Global,US Equities
1.15000,-0.35082,-0.35948,3.45679,-25.89788,0.00285,0.29000,2.15970,1.52921,3.94785,4.40887,3.89832,3.35511,-0.74162,0.35930,1.89309,2.28404,0.58467,-0.14012,-0.00725,5.84000,7.74853,2.29016,5.46721,2.57831,1.85487,7.47217,4.62950
-2.05000,-1.68984,-1.99860,-4.58543,-23.38686,0.00085,-0.17000,-3.37429,-0.02047,10.17422,-3.63498,-4.54717,-1.69492,-2.05701,-2.62369,-3.51486,-2.65487,-3.10748,-2.91262,-2.40798,-4.71000,-5.41177,-4.30108,-3.03365,-3.25883,-1.84915,-6.43581,-5.27413
-0.13000,-1.61146,-1.14518,2.34804,12.00457,0.00083,-0.11000,-5.53113,-4.32023,7.33713,-3.42917,-3.06032,6.10754,-1.11132,-0.75690,-1.10136,-0.86002,-1.35020,-1.82794,-0.53142,-2.23000,2.79160,-1.77903,-4.94881,-1.04550,-0.36852,-2.47905,-2.95170
1.23000,-1.43767,-2.81331,5.53173,3.91290,0.00769,0.50000,-1.09076,-3.38113,8.75074,0.51898,1.94115,1.43211,-3.37143,-3.21664,0.10188,-1.28557,-3.26801,-2.94939,-2.58263,4.33000,5.19427,-2.11312,0.21943,1.84051,-0.38975,5.07282,3.75556
-1.38000,-2.95421,-3.80575,-6.66396,-13.62148,0.01869,-0.55000,-6.67374,-6.13511,4.57871,-6.73913,-8.06775,-2.14499,-5.61798,-2.94868,-2.86116,-4.18078,-3.96773,-5.22721,-2.51633,-2.14000,-5.90501,-8.09934,-6.17038,-5.30193,-2.57293,-5.16946,-8.77690
-0.54000,-0.15221,0.76185,0.76186,-22.13798,0.04762,-0.88000,0.81312,0.61350,2.22798,1.99592,0.44696,-3.24639,-0.07310,0.02507,-1.09838,1.62992,1.66788,1.46036,1.45718,-2.71000,3.57435,1.73084,2.69410,0.39880,0.56316,-4.44043,0.22573
-2.85000,-1.60061,-1.55217,-7.66361,-41.28530,0.08145,-2.25000,-6.15356,-5.13859,-11.80943,-8.72487,-8.08691,-1.60597,-2.96792,-0.84233,-2.13144,-7.04863,-3.05362,-3.04952,-1.46165,-4.16000,-10.09506,-7.38395,-9.47265,-5.28691,-5.09496,-8.15563,-8.24693
1.27000,3.02091,2.53618,4.01057,22.71973,0.13595,0.88000,3.59694,-0.34913,4.08046,5.16883,7.06878,-2.50656,1.82014,1.63691,1.48765,6.69463,2.73923,3.35844,2.25598,5.20000,9.69448,6.28431,4.75299,6.58444,5.15342,8.43673,9.20875
0.45000,-2.93233,-3.04248,-3.64812,-15.27027,0.16759,0.92000,-2.70996,-1.32633,-0.16565,-6.11686,-4.36428,-2.95964,-4.13582,-2.57151,-0.26149,-4.30918,-3.00053,-3.32012,-2.43937,-3.42000,-2.06213,-4.55922,-7.08538,-1.95349,-1.55229,-6.55988,-4.08020
-2.41000,-3.46631,-4.14372,-10.08867,-9.01117,0.19925,-2.22000,-6.57428,-11.53944,-8.98783,-9.22204,-9.39465,-2.86507,-4.67836,-3.41269,-3.51850,-3.74156,-6.07625,-4.93677,-2.80513,-7.52000,-11.24548,-8.84493,-9.16526,-5.42500,-2.86713,-12.04022,-9.24164
1.39000,-0.03009,-1.28063,1.09275,5.17090,0.25087,0.33000,-0.17060,-1.97821,1.85354,5.89181,6.34717,-1.74437,-1.14018,-1.32740,1.76782,3.35923,-1.60766,-0.98146,-0.84903,2.18000,10.79404,2.33367,8.28920,4.06884,2.62715,3.94922,8.12756
1.21000,1.73573,3.80808,16.13498,-24.58333,0.29741,1.02000,10.06599,15.58935,3.99761,13.16810,8.33635,8.45707,4.01030,2.68204,2.07017,3.42893,6.18106,5.49502,4.84408,3.70000,6.83091,11.62232,13.45072,4.56947,1.84744,6.73903,5.55915
-0.29000,-0.86785,-0.87265,-1.29913,-8.39779,0.34782,-0.05000,-1.36373,-2.64708,-3.29891,-1.81776,-4.61626,2.94643,0.32084,-0.72956,0.46383,-1.75580,-1.82157,-1.02207,-0.26322,-2.88000,-4.39962,-2.22045,-1.95191,-2.44612,-0.25610,-3.77119,-5.75758
2.66000,2.28810,3.33024,9.65179,46.56212,0.34680,2.34000,3.92481,9.12929,-0.59330,9.00366,7.50471,5.78202,2.65387,2.68486,3.35456,3.66698,3.73887,4.33720,2.46399,6.13000,7.33591,7.77002,9.51645,5.91000,3.48123,9.46720,6.28873
-0.64000,-1.73118,-2.66701,-7.45951,-5.02058,0.34335,0.10000,-2.69852,-7.56770,-5.69979,-3.07477,-3.32055,-5.38399,-3.10450,-2.28186,-0.89373,-1.88944,-2.33767,-3.22460,-2.26790,-3.43000,-2.10689,-4.65315,-1.99597,-0.93000,-0.68482,-4.70636,-2.51427
-0.80000,2.25653,2.64241,0.85214,41.76777,0.38791,-0.86000,1.67493,3.21737,-0.03165,3.12906,3.33258,7.94339,3.57626,2.93076,0.07279,1.98558,1.68950,2.79007,2.40840,-0.92000,-1.55413,4.91598,2.90064,3.65000,1.25036,-2.52100,3.71249
0.24000,0.52265,0.57418,0.77643,0.36675,0.41589,0.32000,0.26796,-0.83629,-0.94967,2.93624,1.56867,0.90982,0.30498,0.44293,0.65034,0.20208,0.02650,0.76709,-0.20697,0.28000,-0.64309,0.25558,4.25830,1.35000,1.09342,1.57000,1.59750
