Security,Currency,Tier1,Tier2,Tier3,Tier4,PCC Building Blocks ,Proxy,Index
30% ACWI - 70% AGG,US Dollar,-,-,-,-,-,-,-
30% ACWI - 70% AGGU,US Dollar,-,-,-,-,-,-,-
30% ACWI - 70% MUB,US Dollar,-,-,-,-,-,-,-
3i Infrastructure Ord,Pound Sterling,Diversified,Inflation Protection Strategies,Real Assets,Listed Infrastructure,Global Equities,-,-
50% ACWI - 50% AGG,US Dollar,-,-,-,-,-,-,-
50% ACWI - 50% AGGU,US Dollar,-,-,-,-,-,-,-
50% ACWI - 50% MUB,US Dollar,-,-,-,-,-,-,-
60% ACWI - 40% AGG,US Dollar,-,-,-,-,-,-,-
60% ACWI - 40% AGGU,US Dollar,-,-,-,-,-,-,-
60% ACWI - 40% MUB,US Dollar,-,-,-,-,-,-,-
70% ACWI - 30% AGG,US Dollar,-,-,-,-,-,-,-
70% ACWI - 30% AGGU,US Dollar,-,-,-,-,-,-,-
70% ACWI - 30% MUB,US Dollar,-,-,-,-,-,-,-
80% ACWI - 20% AGG,US Dollar,-,-,-,-,-,-,-
80% ACWI - 20% AGGU,US Dollar,-,-,-,-,-,-,-
80% ACWI - 20% MUB,US Dollar,-,-,-,-,-,-,-
abrdn-Emerg Mrkt Corp Bond I Acc HCHF,Swiss Franc,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,-,-
abrdn-Emerg Mrkt Corp Bond I Acc HEUR,Euro,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,P_Credit_EUR,-
abrdn-Emerg Mrkt Corp Bond I Acc USD,US Dollar,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,P_EM Debt,-
abrdn-Emerg Mrkt Corp Bond I M Inc HGBP,Pound Sterling,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,P_Credit_GBP,-
Acasta Global Fund Class D,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
ACF FX&Futures Overlay,US Dollar,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Cash,Cash,P_US Cash,-
AIA Hedge Fund Strategies - Absolute Return,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
AIA Hedge Fund Strategies - Absolute Return CHF,Swiss Franc,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,-,-
AIA Hedge Fund Strategies - Absolute Return EUR,Euro,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return_EUR,-
AIA Hedge Fund Strategies - Absolute Return GBP,Pound Sterling,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return_GBP,-
AIA Hedge Fund Strategies - Absolute Return USD,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
AIA Hedge Fund Strategies - Absolute Return USD Class C,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
AIA Hedge Fund Strategies - Equity Hedge,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
AIA Hedge Fund Strategies - Equity Hedge CHF,Swiss Franc,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,-,-
AIA Hedge Fund Strategies - Equity Hedge EUR,Euro,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Alternative Growth_EUR,-
AIA Hedge Fund Strategies - Equity Hedge GBP,Pound Sterling,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Alternative Growth_GBP,-
AIA Hedge Fund Strategies - Equity Hedge USD,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
AIA Hedge Fund Strategies - Equity Hedge USD Class C,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
AIA ICAV Absolute Return Composite (CHF),Swiss Franc,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,-,-
AIA ICAV Absolute Return Composite (EUR),Euro,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return_EUR,-
AIA ICAV Absolute Return Composite (GBP),Pound Sterling,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return_GBP,-
AIA ICAV Absolute Return Composite (USD Class C),US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
AIA ICAV Absolute Return Composite (USD),US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
AIA ICAV Alternative Credit Composite (CHF A1 Acc),Swiss Franc,Diversified,Income Strategies,Alternative Credit,Credit Directional Hedge Funds,Credit Directional HFs,-,-
AIA ICAV Alternative Credit Composite (EUR A1 Acc),Euro,Diversified,Income Strategies,Alternative Credit,Credit Directional Hedge Funds,Credit Directional HFs,P_Alternative Credit_EUR,-
AIA ICAV Alternative Credit Composite (GBP A1 Acc),Pound Sterling,Diversified,Income Strategies,Alternative Credit,Credit Directional Hedge Funds,Credit Directional HFs,P_Alternative Credit_GBP,-
AIA ICAV Alternative Credit Composite (USD A1 Acc),US Dollar,Diversified,Income Strategies,Alternative Credit,Credit Directional Hedge Funds,Credit Directional HFs,P_Credit Direc HF,-
AIA ICAV Equity Hedge Composite (CHF),Swiss Franc,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,-,-
AIA ICAV Equity Hedge Composite (GBP),Pound Sterling,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Alternative Growth_GBP,-
AIA ICAV Equity Hedge Composite (USD),US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
AIA ICAV Hedged Equity Composite (EUR),Euro,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Alternative Growth_EUR,-
AKO European Long Only Fund A1,US Dollar,Growth,Growth Strategies,Equity,Europe ex UK,Pan Europe,P_Pan Europe,-
AKO European Long-Only Fund,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
AKO Fund Ltd,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
AKO Fund Ltd A2,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
AKO Global Fund Limited,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
AKO Global Fund ProForma,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Akre Focus Instl,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
Alerian MLP ETF,US Dollar,-,-,-,-,-,-,-
Algebris Financial Credit I EUR Acc,Euro,Diversified,Income Strategies,Credit,Unconstrained,Other Credit,P_Credit_EUR,-
Algebris Financial Credit R USD Acc,US Dollar,Diversified,Income Strategies,Credit,Unconstrained,Other Credit,P_Global Aggregate,-
Alta Park Fund Ltd,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
AlTi HK Private Debt,US Dollar,Diversified,Income Strategies,Private Debt,Diversified Debt,Private Debt,P_Private Debt,-
AlTi HK Private Equity,US Dollar,Growth,Growth Strategies,Private Equity,Diversified PE,PE,P_Private Equity,-
AlTi HK Real Estate,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Private Real Estate,Real Estate,P_Real Estate,-
AlTi International - Impact PE Composite,US Dollar,Growth,Growth Strategies,Private Equity,Diversified PE,PE,P_Private Equity,-
AlTi International - Impact Real Estate Composite,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Private Real Estate,Real Estate,P_Real Estate,-
AlTi International - PE Composite,US Dollar,Growth,Growth Strategies,Private Equity,Diversified PE,PE,P_Private Equity,-
AlTi International - Private Credit Composite,US Dollar,Diversified,Income Strategies,Private Debt,Diversified Debt,Private Debt,P_Private Debt,-
AlTi International - Real Estate Composite,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Private Real Estate,Real Estate,P_Real Estate,-
AlTi Onshore - Buyout Composite,US Dollar,Growth,Growth Strategies,Private Equity,Buyout,PE,P_Buyout,-
AlTi Onshore - Impact PE Composite,US Dollar,Growth,Growth Strategies,Private Equity,Diversified PE,PE,P_Private Equity,-
AlTi Onshore - PE Composite,US Dollar,Growth,Growth Strategies,Private Equity,Diversified PE,PE,P_Private Equity,-
AlTi Onshore - Private Credit Composite,US Dollar,Diversified,Income Strategies,Private Debt,Diversified Debt,Private Debt,P_Private Debt,-
AlTi Onshore - Real Estate Composite,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Private Real Estate,Real Estate,P_Real Estate,-
AlTi Onshore - Venture Composite,US Dollar,Growth,Growth Strategies,Private Equity,Venture Capital,PE,P_Venture,-
AlTi Tax-Advantaged Real Estate Fund LP,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Private Real Estate,Real Estate,P_Real Estate,-
AlTi-Allianz Private Debt Composite,US Dollar,Diversified,Income Strategies,Private Debt,Diversified Debt,Private Debt,P_Private Debt,-
AlTi-Allianz Private Debt EUR Composite,Euro,Diversified,Income Strategies,Private Debt,Diversified Debt,Private Debt,P_Private Debt_EUR,-
Apollo Debt Solutions Class I,US Dollar,Diversified,Income Strategies,Private Debt,Diversified Debt,Private Debt,P_Private Debt,-
Apollo Debt Solutions ProForma,US Dollar,Diversified,Income Strategies,Private Debt,Diversified Debt,Private Debt,P_Private Debt,-
Arcus Japan A Acc JPY,Yen,Growth,Growth Strategies,Equity,Japan,Japan,-,-
Arcus Japan A Acc USD H,US Dollar,Growth,Growth Strategies,Equity,Japan,Japan,P_Japan,-
Arcus Japan Value Fund - Relative,Yen,Growth,Growth Strategies,Equity,Japan,Japan,-,-
Artisan International Value Advisor,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Avanath Affordable Housing Renaissance Fund LP,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Private Real Estate,Real Estate,P_Real Estate,-
AXAWF US High Yield Bonds I Cap CHF H,Swiss Franc,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,-,-
AXAWF US High Yield Bonds I Cap GBP H,Pound Sterling,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,P_Credit_GBP,-
AXAWF US High Yield Bonds I Cap USD,US Dollar,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,P_High Yield,-
BA Beutel Goodman US Val SI USD Acc UnH,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
Beutel Goodman Large Cap Value Proforma,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
BGF Continental Eurp Flex D2,US Dollar,Growth,Growth Strategies,Equity,Europe ex UK,Pan Europe,P_Pan Europe,-
BGF Continental Eurp Flex D2 EUR,Euro,Growth,Growth Strategies,Equity,Europe ex UK,Pan Europe,P_Equity_EUR,-
BH Macro GBP Ord,Pound Sterling,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return_GBP,-
Bin Yuan Greater China (Composite),US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
BlackRock European Dynamic A Acc,Pound Sterling,Growth,Growth Strategies,Equity,Europe ex UK,Pan Europe,P_Equity_GBP,-
BlackRock European Dynamic FD Acc,Pound Sterling,Growth,Growth Strategies,Equity,Europe ex UK,Pan Europe,P_Equity_GBP,-
BlackRock ICS Euro Liq Prem (Acc T0) EUR,Euro,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Money Market Funds,Money Market Funds,P_Cash & Cash Equivalents_EUR,-
BlackRock ICS Euro Liq Prem Acc EUR,Euro,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Money Market Funds,Money Market Funds,P_Cash & Cash Equivalents_EUR,-
BlackRock ICS Sterling Liq Premier Acc,Pound Sterling,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Money Market Funds,Money Market Funds,P_Cash & Cash Equivalents_GBP,-
BlackRock ICS USD Liquidity Prem Acc,US Dollar,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Money Market Funds,Money Market Funds,P_US Cash,-
BlackRock ICS USD Liquidity Prem T0 Acc,US Dollar,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Money Market Funds,Money Market Funds,P_US Cash,-
Blackstone Infrastructure Partners LP,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Unlisted Infrastructure,Real Estate,P_Private Infrastructure,-
Blackstone Infrastructure Strategies (BXINFRA),US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Unlisted Infrastructure,Real Estate,P_Private Infrastructure,-
Bloomberg Commodity TR USD,US Dollar,Diversified,Inflation Protection Strategies,Commodities,General Commodities,Commodities,P_Commodity,-
Bloomberg EM Hard Currency Agg TR HEUR,Euro,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,P_Credit_EUR,-
Bloomberg EM Hard Currency Agg TR HGBP,Pound Sterling,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,P_Credit_GBP,-
Bloomberg EM Hard Currency Agg TR USD,US Dollar,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,P_EM Debt,-
Bloomberg EM Hard Currency TR HCHF,Swiss Franc,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,-,-
Bloomberg Euro Agg Bond TR EUR,Euro,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_Investment Grade Bonds_EUR,-
Bloomberg Euro Agg Corps TR Hdg CHF,Swiss Franc,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,-,-
Bloomberg Euro Agg Credit TR EUR,Euro,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_Investment Grade Bonds_EUR,-
Bloomberg Gbl Agg Corp 0901 TR Hdg EUR,Euro,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_Investment Grade Bonds_EUR,-
Bloomberg Gbl Agg Corp 0901 TR Hdg USD,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
Bloomberg Gbl Agg Corp 1229 TR Hdg GBP,Pound Sterling,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_Investment Grade Bonds_GBP,-
Bloomberg Gbl Agg Corp TR Hdg CHF,Swiss Franc,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,-,-
Bloomberg Gbl Agg Corp TR USD,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
Bloomberg Global Aggregate TR Hdg CHF,Swiss Franc,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,-,-
Bloomberg Global Aggregate TR Hdg GBP,Pound Sterling,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_Investment Grade Bonds_GBP,-
Bloomberg Global High Yield TR Hdg CHF,Swiss Franc,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,-,-
Bloomberg Global High Yield TR Hdg EUR,Euro,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,P_Credit_EUR,-
Bloomberg Global High Yield TR Hdg GBP,Pound Sterling,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,P_Credit_GBP,-
Bloomberg Global High Yield TR Hdg USD,US Dollar,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,P_High Yield,-
Bloomberg Global Treasury TR Hdg CHF,Swiss Franc,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,-,-
Bloomberg Global Treasury TR Hdg EUR,Euro,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_Investment Grade Bonds_EUR,-
Bloomberg Global Treasury TR Hdg GBP,Pound Sterling,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_Investment Grade Bonds_GBP,-
Bloomberg Global Treasury TR Hdg USD,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
Bloomberg US Agg Bond Hdg TR GBP,Pound Sterling,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_Investment Grade Bonds_GBP,-
Bloomberg US Corp Bond TR Hdg CHF,Swiss Franc,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,-,-
Bloomberg US Corp Bond TR Hdg GBP,Pound Sterling,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_Investment Grade Bonds_GBP,-
Bloomberg US Corp Bond TR USD,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
Bloomberg US Govt Infl Lkd TR USD,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
Bloomberg US Treasury TR USD(1987),US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
Bloomberg US Treasury US TIPS TR HGBP,Pound Sterling,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_Investment Grade Bonds_GBP,-
BlueBox Funds Global Technology I Acc,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
BNY Mellon Global Credit EUR I Acc H,Euro,Stability,Capital Preservation Strategies,Investment Grade Bonds,Corporate Bonds,US IG / Gbl IG,P_Investment Grade Bonds_EUR,-
BNY Mellon Global Credit EUR W Acc H,Euro,Stability,Capital Preservation Strategies,Investment Grade Bonds,Corporate Bonds,US IG / Gbl IG,P_Investment Grade Bonds_EUR,-
BNY Mellon Global Credit GBP W Acc H,Pound Sterling,Stability,Capital Preservation Strategies,Investment Grade Bonds,Corporate Bonds,US IG / Gbl IG,P_Investment Grade Bonds_GBP,-
BNY Mellon Global Credit GBP W Inc H,Pound Sterling,Stability,Capital Preservation Strategies,Investment Grade Bonds,Corporate Bonds,US IG / Gbl IG,P_Investment Grade Bonds_GBP,-
BNY Mellon Global Credit USD W Acc,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Corporate Bonds,US IG / Gbl IG,P_Global Corporate,-
Brevan Howard Alpha Strategies Fund,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
Brevan Howard Alpha Strategies Fund (MSF),US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
Brevan Howard Alpha Strategies U4,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
Bronte Capital - Callisto Fund LP,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
Brookfield Infrastructure Income Fund Inc.,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Unlisted Infrastructure,Real Estate,P_Private Infrastructure,-
BTG Timber OEF Proforma,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Private Real Estate,Real Estate,P_Real Estate,-
C.W. Henderson Intermediate,US Dollar,-,-,-,-,-,-,-
Calvert Emerging Markets Equity I,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
Cameco Corp,Canadian Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,-,-
CFM Discus Feeder,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
CFM Stratus,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
CG Dollar Fund (CHF Hedged),Swiss Franc,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Cash,Cash,-,-
CG Dollar Fund (EUR Hedged),Euro,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Cash,Cash,P_Cash & Cash Equivalents_EUR,-
CG Dollar Fund GBP D,Pound Sterling,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Cash,Cash,P_Cash & Cash Equivalents_GBP,-
CG Dollar Fund GBP Hgd,Pound Sterling,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Cash,Cash,P_Cash & Cash Equivalents_GBP,-
CIFC Senior Secured Corporate Loan Fund,US Dollar,Diversified,Income Strategies,Credit,Senior Loans,Other Credit,P_Loans,-
CIFC Senior Secured Corporate Loan Fund EUR,Euro,Diversified,Income Strategies,Credit,Senior Loans,Other Credit,P_Credit_EUR,-
CM-AM Cash ISR IC,Euro,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Cash,Cash,P_Cash & Cash Equivalents_EUR,-
Coatue Long Only,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Coatue Long-Short Fund (Class A),US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
Comgest Growth Europe EUR Acc,Euro,Growth,Growth Strategies,Equity,Europe ex UK,Pan Europe,P_Equity_EUR,-
Comgest Growth Europe EUR I Acc,Euro,Growth,Growth Strategies,Equity,Europe ex UK,Pan Europe,P_Equity_EUR,-
Comgest Growth Europe EUR I Inc,Euro,Growth,Growth Strategies,Equity,Europe ex UK,Pan Europe,P_Equity_EUR,-
Comgest Growth Europe USD I Acc,US Dollar,Growth,Growth Strategies,Equity,Europe ex UK,Pan Europe,P_Pan Europe,-
Cornwall Side Pocket,US Dollar,-,-,-,-,-,-,-
Davidson Kempner Partners,US Dollar,Diversified,Income Strategies,Private Debt,Diversified Debt,Private Debt,P_Private Debt,-
DE Shaw Composite International Fund,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
DE Shaw Lithic Fund Series A,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
DE Shaw Oculus International Fund,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
