Security,Currency,Tier1,Tier2,Tier3,Tier4,PCC Building Blocks ,Proxy,Index
Hereford Fds Bin Yuan Grter China L2 USD,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
HFRI Credit (CHF Hedged),Swiss Franc,-,-,-,-,-,-,-
HFRI Credit (EUR Hedged),Euro,-,-,-,-,-,-,-
HFRI Credit (GBP Hedged),Pound Sterling,-,-,-,-,-,-,-
HFRI Credit (USD),US Dollar,-,-,-,-,-,-,-
HFRI Credit Index,US Dollar,-,-,-,-,-,-,-
HFRI ED: Distressed/Restructuring Index,US Dollar,-,-,-,-,-,-,-
HFRI ED: Merger Arbitrage Index,US Dollar,-,-,-,-,-,-,-
HFRI Equity Hedge,US Dollar,-,-,-,-,-,-,-
HFRI Equity Hedge Total Asset Weighted Index,US Dollar,-,-,-,-,-,-,-
HFRI Equity Hedge Total Asset Weighted Index - CHF Hedged,Swiss Franc,-,-,-,-,-,-,-
HFRI Equity Hedge Total Asset Weighted Index - EUR Hedged,Euro,-,-,-,-,-,-,-
HFRI Equity Hedge Total Asset Weighted Index - GBP Hedged,Pound Sterling,-,-,-,-,-,-,-
HFRI Equity Hedge Total Index Asset Weighted Index,US Dollar,-,-,-,-,-,-,-
HFRI Event-Driven (Total),US Dollar,-,-,-,-,-,-,-
HFRI Fund of Funds Composite Index,US Dollar,-,-,-,-,-,-,-
HFRI Fund Weighted Composite Index,US Dollar,-,-,-,-,-,-,-
HFRI Fund Weighted Composite Index - CHF Hedged,Swiss Franc,-,-,-,-,-,-,-
HFRI Fund Weighted Composite Index - EUR Hedged,Euro,-,-,-,-,-,-,-
HFRI Fund Weighted Composite Index - GBP Hedged,Pound Sterling,-,-,-,-,-,-,-
HFRI Fund Weighted Composite Index - USD,US Dollar,-,-,-,-,-,-,-
HFRI Macro (Total) Index,US Dollar,-,-,-,-,-,-,-
HFRI Macro Index,US Dollar,-,-,-,-,-,-,-
HFRI RV Multi-Strategy,US Dollar,-,-,-,-,-,-,-
Horizon Trade Finance - European A3,US Dollar,Diversified,Income Strategies,Alternative Credit,Specialist Finance,Other Credit,P_Private Debt,-
